method,split,seed,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,episodes,seeds
contact_impulse_threshold,energy_work_corruption,0,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,energy_work_corruption,1,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,energy_work_corruption,2,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,energy_work_corruption,3,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,energy_work_corruption,4,1.0000,0.1667,0.2857,0.1667,0.0000,0.1667,1.0000,12,1
contact_impulse_threshold,nominal_valid,0,0.0000,0.0000,0.0000,0.7500,0.2500,0.2500,0.0000,12,1
contact_impulse_threshold,nominal_valid,1,0.0000,0.0000,0.0000,0.8333,0.1667,0.1667,0.0000,12,1
contact_impulse_threshold,nominal_valid,2,0.0000,0.0000,0.0000,0.9167,0.0833,0.0833,0.0000,12,1
contact_impulse_threshold,nominal_valid,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
contact_impulse_threshold,nominal_valid,4,0.0000,0.0000,0.0000,0.9167,0.0833,0.0833,0.0000,12,1
contact_impulse_threshold,noncausal_teleport,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
contact_impulse_threshold,noncausal_teleport,1,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,noncausal_teleport,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
contact_impulse_threshold,noncausal_teleport,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
contact_impulse_threshold,noncausal_teleport,4,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,support_levitation,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
contact_impulse_threshold,support_levitation,1,1.0000,0.2500,0.4000,0.2500,0.0000,0.2500,1.0000,12,1
contact_impulse_threshold,support_levitation,2,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,support_levitation,3,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
contact_impulse_threshold,support_levitation,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
energy_residual_threshold,actuator_saturation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,actuator_saturation,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,actuator_saturation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,actuator_saturation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,actuator_saturation,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,combined_violation_shift,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,combined_violation_shift,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,combined_violation_shift,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,combined_violation_shift,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,combined_violation_shift,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,contact_corruption,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
energy_residual_threshold,contact_corruption,1,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
energy_residual_threshold,contact_corruption,2,1.0000,0.1667,0.2857,0.1667,0.0000,0.1667,1.0000,12,1
energy_residual_threshold,contact_corruption,3,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
energy_residual_threshold,contact_corruption,4,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
energy_residual_threshold,energy_work_corruption,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,energy_work_corruption,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,energy_work_corruption,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,energy_work_corruption,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,energy_work_corruption,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,nominal_valid,0,0.0000,0.0000,0.0000,0.9167,0.0833,0.0833,0.0000,12,1
energy_residual_threshold,nominal_valid,1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
energy_residual_threshold,nominal_valid,2,0.0000,0.0000,0.0000,0.9167,0.0833,0.0833,0.0000,12,1
energy_residual_threshold,nominal_valid,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
energy_residual_threshold,nominal_valid,4,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
energy_residual_threshold,noncausal_teleport,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
energy_residual_threshold,noncausal_teleport,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
energy_residual_threshold,noncausal_teleport,2,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
energy_residual_threshold,noncausal_teleport,3,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
energy_residual_threshold,noncausal_teleport,4,1.0000,0.0833,0.1538,0.0833,0.0000,0.0833,1.0000,12,1
energy_residual_threshold,support_levitation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,support_levitation,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,support_levitation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,support_levitation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
energy_residual_threshold,support_levitation,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,actuator_saturation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,actuator_saturation,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,actuator_saturation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,actuator_saturation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,actuator_saturation,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,combined_violation_shift,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
